Date,Type,Link
2023-01-10 06:37:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018453905416056832
2023-01-09 01:13:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7015188965938851840
2023-01-09 01:12:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016365205664219137
2023-01-09 01:04:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017728541010104320
2023-01-08 13:55:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015229899187609600
2023-01-08 13:15:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7014508910409625600
2023-01-08 12:57:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017786584716460032
2023-01-08 07:27:49,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017678455685226496
2023-01-07 13:59:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017052402453254144
2023-01-07 13:59:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017302134723411968
2023-01-07 13:55:23,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017105034131746816
2023-01-07 13:54:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017013131533033472
2023-01-06 06:04:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017005094235738112
2023-01-05 17:13:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016791364088578048
2023-01-04 07:51:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014259017023664128
2023-01-01 18:08:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A961087-7015264298713157632
2023-01-01 18:07:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015267888617938944
2022-12-27 16:35:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012992530623393792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7012992530623393792%2C7013419772969193472%29
2022-12-26 11:10:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012774529362006016
2022-12-26 11:10:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013024121257144320
2022-12-26 11:07:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012997927946084352
2022-12-22 19:40:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011010224492834816
2022-12-22 03:27:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011174197393588224
2022-12-22 03:25:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7010930482410328064
2022-12-22 03:25:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011021873094242305
2022-12-12 09:53:48,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7007623396364554240
2022-12-10 11:49:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7007258158544936960
2022-12-09 06:13:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006481238773383168
2022-12-09 06:07:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006838284685357056
2022-12-07 03:52:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005939819918843905
2022-12-06 04:29:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003966328403300352
2022-12-04 04:35:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7001520004051398656
